BVP,TEMP,ACC_x,ACC_y,ACC_z
-86.822815,31.938662,-54.000000,29.000000,15.000000
-94.816032,31.940874,-56.000000,29.000000,14.000000
-89.658577,31.947422,-53.000000,27.000000,19.000000
-78.350952,31.957840,-52.000000,29.000000,18.000000
-66.583878,31.971266,-57.000000,28.000000,13.000000
-54.660942,31.957548,-57.000000,27.000000,14.000000
-43.040890,31.946878,-59.000000,31.000000,11.000000
-34.094467,31.940161,-55.000000,30.000000,13.000000
-27.114601,31.937881,-54.000000,29.000000,12.000000
-17.582726,31.940189,-56.000000,31.000000,12.000000
-3.611127,31.946924,-57.000000,30.000000,13.000000
11.106277,31.957584,-54.000000,30.000000,13.000000
22.861828,31.971266,-56.000000,29.000000,14.000000
31.687693,31.957779,-56.000000,30.000000,14.000000
38.119816,31.947285,-57.000000,28.000000,12.000000
41.871647,31.940664,-58.000000,29.000000,13.000000
43.917824,31.938398,-52.000000,30.000000,15.000000
44.781490,31.940643,-55.000000,30.000000,13.000000
42.745255,31.947252,-54.000000,31.000000,15.000000
37.096523,31.957752,-53.000000,29.000000,15.000000
29.405260,31.971266,-55.000000,29.000000,16.000000
20.581118,31.957621,-52.000000,28.000000,17.000000
10.504854,31.947010,-58.000000,30.000000,11.000000
-0.506652,31.940327,-56.000000,32.000000,13.000000
-11.041854,31.938057,-59.000000,31.000000,11.000000
-16.928158,31.940346,-57.000000,28.000000,11.000000
-12.267460,31.947041,-57.000000,30.000000,13.000000
3.499313,31.957645,-57.000000,30.000000,12.000000
22.665834,31.971266,-57.000000,30.000000,12.000000
37.624733,31.957714,-55.000000,28.000000,14.000000
48.261292,31.947170,-56.000000,29.000000,14.000000
57.902042,31.940521,-56.000000,27.000000,15.000000
66.027382,31.938251,-56.000000,29.000000,14.000000
69.605019,31.940514,-55.000000,28.000000,15.000000
70.057564,31.947159,-57.000000,31.000000,13.000000
72.635483,31.957705,-54.000000,31.000000,13.000000
78.665184,31.971266,-51.000000,31.000000,16.000000
85.062706,31.957664,-56.000000,31.000000,13.000000
90.537605,31.947084,-56.000000,31.000000,13.000000
95.139488,31.940420,-55.000000,31.000000,15.000000
95.060631,31.938152,-58.000000,30.000000,13.000000
84.073120,31.940430,-51.000000,31.000000,18.000000
58.622223,31.947100,-54.000000,32.000000,16.000000
19.833107,31.957676,-55.000000,29.000000,13.000000
-25.697748,31.971266,-56.000000,31.000000,15.000000
-67.956024,31.957687,-57.000000,30.000000,13.000000
-99.561882,31.947123,-52.000000,28.000000,17.000000
-119.714256,31.940464,-53.000000,31.000000,16.000000
-132.664536,31.938194,-58.000000,30.000000,14.000000
-143.526382,31.940464,-55.000000,31.000000,15.000000
-153.910095,31.947123,-56.000000,31.000000,12.000000
-160.600052,31.957687,-55.000000,31.000000,13.000000
-159.637192,31.971266,-53.000000,31.000000,16.000000
-150.251358,31.957676,-55.000000,30.000000,13.000000
-133.645660,31.947100,-57.000000,29.000000,13.000000
-111.746307,31.940430,-56.000000,29.000000,13.000000
-89.055733,31.938152,-58.000000,29.000000,12.000000
-71.469383,31.940420,-55.000000,28.000000,15.000000
-60.343044,31.947084,-56.000000,29.000000,15.000000
-50.231499,31.957664,-53.000000,30.000000,16.000000
-35.016773,31.971266,-57.000000,28.000000,17.000000
-13.491918,31.957705,-54.000000,29.000000,16.000000
